condition,metric,metric_label,unit,participant_count,mean,standard_deviation
GAZE_AWARE,user_looks_at_avatar_proportion_time,User looks at avatar: proportion of time,proportion,0,,
GAZE_AWARE,user_looks_at_avatar_mean_episode_duration_ms,User looks at avatar: mean episode duration,ms,1,0.0,
GAZE_AWARE,user_looks_at_avatar_episode_rate_per_minute,User looks at avatar: episode rate,episodes/min,0,,
GAZE_AWARE,avatar_looks_at_user_proportion_time,Avatar looks at user: proportion of time,proportion,0,,
GAZE_AWARE,avatar_looks_at_user_mean_episode_duration_ms,Avatar looks at user: mean episode duration,ms,0,,
GAZE_AWARE,avatar_looks_at_user_episode_rate_per_minute,Avatar looks at user: episode rate,episodes/min,0,,
GAZE_AWARE,mutual_gaze_proportion_time,Mutual gaze: proportion of time,proportion,0,,
GAZE_AWARE,mutual_gaze_mean_episode_duration_ms,Mutual gaze: mean episode duration,ms,0,,
GAZE_AWARE,mutual_gaze_episode_rate_per_minute,Mutual gaze: episode rate,episodes/min,0,,
GAZE_AWARE,gaze_aversion_rate_per_minute,Gaze aversion: rate,aversions/min,0,,
GAZE_AWARE,mean_aversion_duration_ms,Gaze aversion: mean duration,ms,1,0.0,
